09:42:23.849 [client-akka.actor.default-dispatcher-15] INFO  akka.contrib.pattern.ClusterClient - Connected to [akka.tcp://ClusterSystem@127.0.0.1:3001/user/receptionist]
09:42:33.638 [ClusterSystem-akka.actor.default-dispatcher-16] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$a
09:42:34.147 [ClusterSystem-akka.actor.default-dispatcher-15] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$a
09:42:35.139 [ClusterSystem-akka.actor.default-dispatcher-14] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$b
09:42:35.642 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$b
09:42:36.644 [ClusterSystem-akka.actor.default-dispatcher-14] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$c
09:42:37.146 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$c
09:42:38.151 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$d
09:42:38.653 [ClusterSystem-akka.actor.default-dispatcher-18] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$d
09:42:39.656 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$a
09:42:40.164 [ClusterSystem-akka.actor.default-dispatcher-16] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$a
09:42:41.163 [ClusterSystem-akka.actor.default-dispatcher-14] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$b
09:42:41.665 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$b
09:42:42.673 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$c
09:42:43.170 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$c
09:42:44.173 [ClusterSystem-akka.actor.default-dispatcher-2] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$d
09:42:44.676 [ClusterSystem-akka.actor.default-dispatcher-16] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$d
09:42:45.680 [ClusterSystem-akka.actor.default-dispatcher-16] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$a
09:42:46.183 [ClusterSystem-akka.actor.default-dispatcher-18] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$a
09:42:47.183 [ClusterSystem-akka.actor.default-dispatcher-18] INFO  com.cluster.demo.Worker - Message received Greetings from ClusterDemoApp from akka://ClusterSystem/user/workers/$b
